id,Date,Open,Close,Volume,Strategy
0,2015-06-01,66.20848591841693,75.60997811636648,298506300,Hold
1,2015-06-08,64.11623523500563,74.44333111899341,227974800,Hold
2,2015-06-15,47.701941718116856,71.14083142721184,250670900,Buy
3,2015-06-22,54.754816237643055,72.88134353255981,223614300,Hold
4,2015-06-29,48.03189949541989,66.28471789037816,406814900,Buy
5,2015-07-06,51.374398810903294,58.49401653541783,590857400,Buy
6,2015-07-13,45.85137570219902,60.26934702596188,693570200,Buy
7,2015-07-20,45.2003316887448,52.73847741829011,326224700,Buy
8,2015-07-27,49.402806358735305,56.363684390622765,288132300,Buy
9,2015-08-03,47.10118979872032,55.97524222754255,294538600,Buy
10,2015-08-10,43.7272769038352,54.52276373875893,225627700,Buy
11,2015-08-17,51.49767579087763,55.84627341768842,274069600,Buy
12,2015-08-24,58.52581674920844,53.89054221762038,328151900,Buy
13,2015-08-31,61.83375627943454,51.54011643549476,272386700,Buy
14,2015-09-07,56.32639745206933,56.77757857758555,447136100,Hold
15,2015-09-14,52.24891353958797,61.0653443750646,316464700,Hold
16,2015-09-21,54.22794859694408,64.60072541626913,338811600,Hold
17,2015-09-28,47.52201674710439,64.78811804134,498604400,Hold
18,2015-10-05,47.82199404964596,59.64842725819604,303670600,Hold
19,2015-10-12,53.23601852683302,58.8299875342251,256271300,Hold
20,2015-10-19,52.92942361300935,56.049315606788106,237597000,Hold
21,2015-10-26,46.83703509245863,53.29388430295501,169717700,Buy
22,2015-11-02,51.38534243807614,57.35854129262062,293969000,Hold
23,2015-11-09,52.23212824405542,60.376909647102224,281758500,Hold
24,2015-11-16,57.40523185840611,54.40508828791114,254505900,Buy
25,2015-11-23,59.563272539788855,58.6034953768018,217442500,Hold
26,2015-11-30,64.93622972468233,57.07208195030615,120022700,Hold
27,2015-12-07,58.39979379767375,63.68254787488225,253153300,Hold
28,2015-12-14,63.60231990893893,64.16760513304598,334592500,Hold
29,2015-12-21,64.6808920388867,68.81370169777519,206101000,Sell
30,2015-12-28,61.99927378273693,65.4965364777801,366795700,Hold
31,2016-01-04,59.49159750854323,71.20659482006528,303032500,Sell
32,2016-01-11,65.07300070118423,68.63874962624658,225925300,Sell
33,2016-01-18,60.976699260710994,69.0335233975157,192219500,Sell
34,2016-01-25,61.69895065897236,68.142327537825,149882700,Sell
35,2016-02-01,61.27974435061157,69.21569645105151,248911600,Sell
36,2016-02-08,60.67598170612134,69.4541584960197,187507500,Sell
37,2016-02-15,61.67965853702712,69.40275807010526,253044000,Sell
38,2016-02-22,58.73767611006451,68.08752354929518,215053600,Hold
39,2016-02-29,54.67975951357467,68.20344751568997,190235300,Hold
40,2016-03-07,53.99992234210479,66.70738062917873,230445600,Hold
41,2016-03-14,49.65071219905392,63.83847740557196,221273800,Hold
42,2016-03-21,49.36189727130726,60.86219516366219,200998900,Hold
43,2016-03-28,46.51694647459298,63.33181503162901,239029400,Hold
44,2016-04-04,51.211076597737176,57.096512203901554,232195200,Buy
45,2016-04-11,47.305016430698906,57.531981119425225,212998300,Buy
46,2016-04-18,53.06141891468042,54.537248452544574,236653900,Buy
47,2016-04-25,50.21813769424911,58.31162736330031,233843300,Buy
48,2016-05-02,48.55251907455055,56.21990648753747,210886700,Buy
49,2016-05-09,43.384269945915776,59.635900440334055,210747500,Hold
50,2016-05-16,42.79068812703772,56.41854723734442,189300200,Buy
51,2016-05-23,42.6803131257569,54.31585011860216,201817100,Buy
52,2016-05-30,41.52799792434879,52.1138008524821,286235400,Buy
53,2016-06-06,40.26943548519187,50.72070562258818,175157200,Buy
54,2016-06-13,41.43996687339692,49.53248218914495,188346200,Buy
55,2016-06-20,43.05333274549422,49.35065574170962,150941500,Buy
56,2016-06-27,44.06537528336694,47.97935256619475,251416900,Buy
57,2016-07-04,44.94357096253699,48.506041239322975,232250100,Buy
58,2016-07-11,43.3487269303701,51.789077250937325,140552500,Hold
59,2016-07-18,47.57295248025976,51.521814661726765,132417400,Hold
60,2016-07-25,48.30736683950799,52.97144347780925,135282700,Hold
61,2016-08-01,50.29699177315534,50.14000961244694,116442900,Buy
62,2016-08-08,46.49834862296356,55.87720974949551,207187200,Hold
63,2016-08-15,47.32099398170387,57.70519454163419,206447600,Hold
